City,r_square,mean_absolute_error,mean_square_error,sqrt_mean_square_error,mean_SalesPrice
Newark-DE,-0.30653533595856053,118402.9430239899,18141222606.58218,134689.35595132297,308017.20707070705
Bear-DE,0.07002930419408915,108738.83840880102,15479422592.212631,124416.32767532014,338265.8163265306
Wilmington-DE,-0.06977474732716038,159559.16955873117,54283722124.90736,232988.67381249965,328693.66834170854
Ames-IA,-0.29812010850684456,112514.73478618421,19084950358.05947,138148.29118762008,286503.68947368424
